minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.816,0.5088,0.2649,0.4368,0.6737,0.8376,0.4811,0.5871,0.9204,946.0
0.8574,0.2569,0.3699,0.5091,0.7552,0.9761,0.1465,0.6205,0.9121,211.0
0.3222,0.4782,0.1086,0.9274,0.446,0.5033,0.377,0.411,0.5473,162.0
0.7698,0.0,0.0372,0.8497,0.8825,0.8071,0.553,0.8182,0.8036,175.0
0.1792,0.0,0.1388,0.66,0.737,0.0872,0.0923,0.1506,0.3639,137.0
0.8488,0.4667,0.2496,0.6453,0.8173,0.872,0.3811,0.7367,0.8816,517.0
0.2824,0.0,0.0293,0.8962,0.7841,0.2496,0.4951,0.4527,0.4779,169.0
0.9545,0.2763,0.6211,0.4779,0.7822,0.9841,0.1624,0.7631,0.9787,404.0
0.4257,0.7682,0.085,0.8281,0.4091,0.4187,0.4358,0.3193,0.7011,186.0
0.4187,0.1859,0.2168,0.482,0.894,0.766,0.3317,0.5855,0.8163,562.0
0.4053,0.6635,0.4378,0.7924,0.9322,0.4358,0.0697,0.5692,0.8653,375.0
0.4811,0.808,0.568,0.5498,0.751,0.4187,0.8335,0.8131,0.7412,901.0
0.4833,0.0,0.1363,0.8481,0.7428,0.5801,0.3926,0.5893,0.6963,169.0
0.8625,0.7093,0.9414,0.2572,0.4534,0.7049,0.3773,0.6084,0.5721,5848.0
0.1296,0.0579,0.1318,0.6243,0.6861,0.6425,0.5479,0.5521,0.6113,350.0
0.9312,0.6613,0.4871,0.7058,0.6154,0.9411,0.9612,0.9707,0.9771,482.0
0.4464,0.5915,0.6043,0.7074,0.5638,0.1624,0.2203,0.3553,0.3206,1721.0
0.5002,0.7173,0.355,0.7122,0.8653,0.8424,0.0688,0.6705,0.9239,216.0
0.2235,0.2069,0.2964,0.7389,0.5253,0.4537,0.2089,0.3394,0.4253,149.0
0.6902,0.8634,0.8599,0.192,0.7733,0.7475,0.3126,0.694,0.7943,1986.0
0.8173,0.9666,0.1302,0.8755,0.958,0.313,0.1436,0.4378,0.8249,244.0
0.2114,0.3566,0.1703,0.6138,0.8828,0.4187,0.2706,0.4078,0.6584,406.0
0.1401,0.2117,0.2104,0.9004,0.1891,0.4187,0.2209,0.2232,0.5479,249.0
0.7959,0.5065,0.2986,0.8138,0.9401,0.5193,0.2378,0.652,0.8532,825.0
0.2251,0.1773,0.6342,0.8418,0.5501,0.4537,0.2273,0.5928,0.6765,294.0
0.6737,0.893,0.958,0.2572,0.8663,0.5033,0.7221,0.8822,0.6466,2419.0
0.4005,0.5591,0.751,0.7536,0.5575,0.3986,0.8039,0.8666,0.7205,1254.0
0.7042,0.0,0.3177,0.631,0.73,0.9621,0.446,0.7918,0.9293,166.0
0.6307,0.9341,0.4712,0.6004,0.9344,0.3473,0.368,0.5995,0.8835,406.0
0.9608,0.9672,0.9828,0.0408,0.9653,0.8991,0.525,0.9112,0.5164,12714.0
0.5785,0.7131,0.4906,0.2913,0.4823,0.1624,0.9401,0.4136,0.5046,529.0
0.6603,0.8093,0.8348,0.5667,0.7689,0.6705,0.6074,0.9195,0.7915,3263.0
0.5384,0.4572,0.2502,0.3337,0.5304,0.1907,0.2114,0.0898,0.2642,727.0
0.9452,0.9904,0.616,0.3037,0.9774,0.1907,0.1722,0.3556,0.7428,228.0
0.9061,0.9452,0.9198,0.063,0.9131,0.5033,0.1401,0.5014,0.4078,9400.0
0.7794,0.7705,0.5692,0.7268,0.8809,0.9023,0.9583,0.9968,0.9733,511.0
