county,fips,latitude,state,longitude,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
Otoe,31131,40.64850668,Nebraska,-96.13477062,170,-0.262946548,-0.140786847,-0.134684631,-0.490014252,0.863370424,0.561742335,-1.41489518,-0.957792509,0.417734864,-0.324047987,-0.884779255,-0.870595457,-0.13168437,-0.155969983,-0.149711329,-0.149315095
Pawnee,31133,40.13147045,Nebraska,-96.2370697,,-0.30352782,-0.191882644,-0.145565563,-1.341219221,-0.388831999,-0.527985327,-0.252061392,-1.204582096,1.201097634,-0.615728109,-0.759071736,-0.993878212,-0.136254249,-0.170414667,-0.162800035,-0.157339496
Perkins,31135,40.85097288,Nebraska,-101.6498063,,-0.302863511,-0.066670566,-0.147210212,-1.353339714,-1.132789581,0.470470729,-1.464311296,-1.683970003,-1.270808764,-0.674202535,-1.631059429,-1.648731272,-0.136237509,-0.171670108,-0.162345945,-0.156491005
Phelps,31137,40.51111961,Nebraska,-99.41454996,98,-0.28341095,-0.161784024,-0.139524842,-0.82973438,0.541287031,0.80063885,-0.785617222,-1.668740351,-0.202053478,0.445115611,-0.765651468,-1.158024352,-0.134722586,-0.165227088,-0.154681085,-0.153184067
Pierce,31139,42.26436807,Nebraska,-97.60130914,96,-0.289737261,-0.152520594,-0.142076642,-1.605792287,-1.105261086,-0.896529009,-0.941813618,-1.252001694,-1.615902496,-0.079424206,-1.647681911,-1.666392566,-0.136388164,-0.166492004,-0.157287894,-0.154464055
Platte,31141,41.57130468,Nebraska,-97.52114879,309,-0.211238103,-0.124615409,-0.122052568,0.214359591,1.377120965,1.058204557,-0.991229734,0.838268031,-0.567852833,-0.580435852,-0.214339153,-0.61675765,-0.1180668,-0.14341083,-0.131005369,-0.141352336
Polk,31143,41.18691143,Nebraska,-97.56844329,,-0.295694511,-0.189869623,-0.142390823,-0.944359622,0.631098746,-0.346133566,-0.697497574,-0.545899651,-1.047878214,-0.020949781,-1.203376823,-1.376539572,-0.135626518,-0.168770749,-0.159331297,-0.155653393
Red Willow,31145,40.17583517,Nebraska,-100.4768816,137,-0.278342519,-0.11272587,-0.140598603,-0.761167014,-0.547809059,0.817233687,-0.941813618,-0.583281524,-0.691741483,0.804266225,-0.393030833,-0.969637221,-0.133651259,-0.162749367,-0.152587228,-0.153437889
Richardson,31147,40.12505064,Nebraska,-95.71755562,127,-0.286754022,-0.158447807,-0.140828502,-0.784369103,-1.716737784,0.041079309,-1.367552467,-0.712041308,0.190318095,-0.094648317,-0.969623172,-1.013617305,-0.134496603,-0.164208522,-0.156240966,-0.154547454
Rock,31149,42.42132067,Nebraska,-99.44992068,,-0.307489068,-0.032075086,-0.148267221,-1.375502903,-1.037472166,-1.259886805,-0.697497574,-1.6510878,-1.699415179,0.864816665,-1.605779405,-1.697213255,-0.137961676,-0.172480223,-0.163535828,-0.157676716
Saline,31151,40.52407318,Nebraska,-97.14093136,171,-0.26766437,-0.15230772,-0.135130374,0.622300785,1.6069839,0.461481859,-1.07589371,0.015174571,-1.369850665,1.329498047,-0.41277003,-0.152715819,-0.125984576,-0.160129521,-0.153133817,-0.152817838
Sarpy,31153,41.11291421,Nebraska,-96.11195961,1329,0.218585074,-0.245054428,0.252349854,0.130555034,0.637636764,1.513871136,-1.607376137,0.408722622,-1.534460375,-1.466202299,-1.212034366,-1.329096489,-0.09444739,-0.054852457,0.000428279,0.008656463
Saunders,31155,41.22637133,Nebraska,-96.63738812,260,-0.247396801,-0.103520716,-0.133511737,-1.397319792,-0.586004846,-0.078887537,-1.443577262,-1.177237948,-1.334651105,-0.706034766,-1.641102179,-1.634532978,-0.130027161,-0.152890598,-0.142862148,-0.1451923
Scotts Bluff,31157,41.85057216,Nebraska,-103.7079449,488,-0.19925594,-0.106520034,-0.121507176,0.55304082,0.763579629,0.633307572,-0.730326462,0.561711398,-0.691741483,0.223674,-0.076511074,0.320329808,-0.113973997,-0.141231573,-0.128293447,-0.138484148
Seward,31159,40.87238867,Nebraska,-97.13952716,207,-0.259185207,-0.153024779,-0.132383252,-1.292737245,-0.513742546,0.848003282,-1.273903743,-1.338187679,-0.944695188,1.404580594,-0.727211979,-1.449262545,-0.132789176,-0.159399944,-0.148563492,-0.147157608
