fips,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
48253,258.0,19944.0,928.5547408,21.47853985,0.8485,0.6902,0.0735,0.6377,0.092,0.4734,0.9975,0.361,0.6195,3184.0,5675.0,4127.0,1724.0
48255,189.0,14984.0,747.5666715,20.0436972,0.9392,0.9226,0.4368,0.6272,0.9777,0.4877,0.9819,0.9389,0.873,2594.0,3945.0,2514.0,1640.0
48257,1528.0,111830.0,780.6827768,143.2464034,0.7237,0.8908,0.4725,0.6663,0.7975,0.1519,0.2553,0.3999,0.5606,11305.0,25708.0,26111.0,16305.0
48259,408.0,39010.0,662.4535532,58.88714735,0.6479,0.767,0.815,0.3719,0.6291,0.0704,0.2824,0.3139,0.2693,2164.0,6162.0,8994.0,12590.0
48261,0.0,558.0,1458.452236,0.382597377,0.9713,0.999,0.0,0.1691,0.9153,0.5985,0.0815,0.1643,0.7221,281.0,77.0,20.0,4.0
48263,0.0,667.0,902.5064794,0.739052866,0.5473,0.7622,0.0,0.554,0.3149,0.5193,0.8898,0.3642,0.4495,67.0,154.0,131.0,120.0
48265,813.0,50505.0,1103.325849,45.77523498,0.6969,0.843,0.646,0.7268,0.8908,0.313,0.7367,0.8838,0.8265,4290.0,10219.0,12809.0,10289.0
48267,0.0,4453.0,1250.98438,3.559596802,0.6301,0.8644,0.1531,0.6832,0.32,0.2206,0.3149,0.1439,0.5349,479.0,1057.0,956.0,722.0
48269,0.0,274.0,910.8720758,0.300810627,0.6211,0.7523,0.6533,0.6905,0.836,0.0,0.0,0.3206,0.128,32.0,55.0,38.0,33.0
48271,0.0,3578.0,1360.054188,2.630777532,0.9433,0.9678,0.4585,0.9411,0.7259,0.2939,0.9322,0.8933,0.8647,635.0,1087.0,876.0,359.0
48273,425.0,31877.0,881.305785,36.17019262,0.9819,0.9054,0.8052,0.3518,0.9494,0.8609,0.8555,0.9866,0.985,3703.0,4584.0,4668.0,4228.0
48275,70.0,3807.0,850.6248077,4.475533708,0.8029,0.9354,0.0,0.1566,0.8733,0.2038,0.7488,0.2401,0.8198,433.0,823.0,660.0,482.0
48277,876.0,49626.0,907.1938419,54.70275228,0.639,0.6762,0.7272,0.3295,0.8128,0.7475,0.4263,0.7705,0.8609,5306.0,11191.0,11005.0,6319.0
48279,197.0,13561.0,1016.180918,13.34506461,0.9303,0.9287,0.2891,0.3629,0.9245,0.5339,0.3741,0.4721,0.8255,2091.0,2701.0,2341.0,1196.0
48281,299.0,20357.0,712.8410627,28.55755801,0.6622,0.6068,0.291,0.6243,0.602,0.3626,0.2894,0.3145,0.5517,1325.0,4327.0,6123.0,2925.0
48283,85.0,7319.0,1486.703414,4.922972486,0.9917,0.9857,0.2818,0.8691,0.992,0.9163,0.9589,0.9965,0.9631,1906.0,2019.0,916.0,392.0
48285,283.0,19654.0,969.7087819,20.26794061,0.6463,0.7959,0.2974,0.6845,0.9675,0.3298,0.5766,0.6765,0.6145,1982.0,5632.0,3873.0,2295.0
48287,242.0,16754.0,629.0393475,26.63426392,0.7676,0.8742,0.1837,0.8192,0.7969,0.1519,0.6988,0.5603,0.6129,1781.0,4191.0,3924.0,1696.0
48289,323.0,16923.0,1073.155843,15.76937786,0.6221,0.8825,0.0681,0.9074,0.7988,0.1261,0.0809,0.2388,0.5944,2183.0,4785.0,3320.0,1681.0
48291,1475.0,78598.0,1158.438695,67.84821703,0.7338,0.8832,0.5855,0.9436,0.8631,0.4358,0.9112,0.9742,0.9357,12291.0,20533.0,16161.0,5279.0
48293,390.0,23469.0,905.2877771,25.92435311,0.8118,0.9373,0.4693,0.8026,0.6507,0.6154,0.7762,0.8844,0.9487,3055.0,5386.0,5358.0,2402.0
48295,0.0,3507.0,932.1765725,3.762162774,0.7265,0.9007,0.05,0.3403,0.4645,0.0156,0.3168,0.0331,0.2235,399.0,728.0,668.0,440.0
48297,154.0,11976.0,1039.694271,11.51877079,0.8475,0.9331,0.0516,0.872,0.9182,0.0974,0.9634,0.7036,0.6953,2003.0,2956.0,2656.0,1057.0
48299,391.0,19624.0,934.0515873,21.00954622,0.4285,0.7889,0.44,0.5909,0.7036,0.2763,0.1971,0.3333,0.4257,2388.0,4461.0,5734.0,4258.0
48301,0.0,76.0,668.7515931,0.113644589,0.6734,0.886,0.5326,0.9975,0.0,0.9688,0.0,0.4823,0.5333,14.0,14.0,43.0,0.0
48303,3776.0,294682.0,895.5965447,329.0343199,0.851,0.7676,0.9366,0.2652,0.8055,0.4734,0.7676,0.8621,0.7555,24887.0,46109.0,54810.0,54246.0
48305,94.0,5723.0,891.8666025,6.416878919,0.887,0.8905,0.3123,0.5775,0.4384,0.2496,0.0439,0.1197,0.8099,938.0,1120.0,1092.0,657.0
48307,155.0,8242.0,1065.600976,7.734602527,0.7784,0.781,0.072,0.482,0.8465,0.5495,0.4562,0.4323,0.8259,1310.0,1560.0,1804.0,977.0
48309,3035.0,243394.0,1037.109191,234.6850285,0.8338,0.887,0.9042,0.2652,0.7784,0.6297,0.751,0.8879,0.8223,22962.0,41154.0,51225.0,36921.0
48311,0.0,671.0,1139.798539,0.588700527,0.879,0.9586,0.0,0.8902,0.9815,0.8898,0.0,0.6221,0.8316,36.0,162.0,155.0,143.0
48313,223.0,13843.0,466.0650624,29.70186164,0.8469,0.9061,0.4855,0.8348,0.978,0.7049,0.9959,0.9959,0.8456,1870.0,3752.0,2689.0,1435.0
48315,248.0,10191.0,380.8908056,26.75569966,0.6921,0.2722,0.0449,0.9586,0.453,0.4537,0.297,0.333,0.6084,1122.0,3111.0,2231.0,1115.0
48317,84.0,5451.0,914.9554056,5.957667408,0.8707,0.907,0.0,0.7791,0.9739,0.0318,0.2611,0.2646,0.4454,751.0,1095.0,867.0,608.0
48319,0.0,4064.0,928.8026874,4.375525669,0.6858,0.8539,0.4199,0.4518,0.0398,0.1754,0.0267,0.0255,0.2528,352.0,764.0,956.0,791.0
48321,612.0,36719.0,1092.895121,33.59791739,0.9074,0.9456,0.6122,0.7074,0.8742,0.3986,0.2044,0.6453,0.8583,4685.0,7614.0,7600.0,4203.0
48323,566.0,56830.0,1279.472229,44.41675147,0.9997,0.9987,0.5973,0.3378,0.9943,0.7284,0.1681,0.6609,0.9758,13300.0,7433.0,7938.0,4169.0
48325,602.0,47920.0,1325.35821,36.156263,0.9089,0.7835,0.1595,0.9411,0.893,0.3473,0.8176,0.83,0.6797,5659.0,10417.0,10869.0,6671.0
48327,0.0,2163.0,902.0261334,2.39793496,0.8443,0.8975,0.0544,0.6622,0.9207,0.7049,0.6001,0.7262,0.9306,389.0,636.0,420.0,318.0
48329,1656.0,155817.0,900.2537947,173.0811921,0.8895,0.9233,0.9191,0.3862,0.957,0.1519,0.2385,0.5622,0.4483,16284.0,26985.0,33084.0,28785.0
48331,411.0,24372.0,1016.859728,23.9679076,0.772,0.7943,0.3875,0.6351,0.8456,0.7475,0.4922,0.8042,0.9147,3103.0,6352.0,4876.0,2350.0
48333,91.0,4871.0,748.2608212,6.509762188,0.539,0.8707,0.1229,0.6482,0.6103,0.4537,0.7227,0.5132,0.7036,609.0,1142.0,1171.0,653.0
48335,131.0,8995.0,911.089111,9.872799368,0.8898,0.9096,0.545,0.6482,0.6358,0.3626,0.9924,0.8379,0.6457,1189.0,2244.0,1510.0,631.0
